id,signe,definition
1811,ATTENTION.5,"faire attention, attention"
2234,DE:ACQUIS,"acquis, bien connaître, paf"
3573,TOUCHER.COEUR,"ça me touche au coeur, ça me fait mal"
912,VOYAGE,"voyage, voyager, tourisme, déplacer"
2557,BLESSER,blesser
1022,COMPARER,"comparer, comparation, comparable, par rapport, les deux, celui ci ou celui-là"
2098,SAMEDI(PL),Tous les samedis
1191,VAPEUR,"vapeur, fumée"
2255,DE:FACILE,"avoir facile, ne pas avoir peur"
3513,NS:XAVIER(8),Xavier
2241,PAPILLON,papillon
2956,NS:CHARETTE(MOINE),Charette
3192,INTERDIRE.CROIX,"interdire, interdiction, interdit, supprimer, effacer"
605,REGLES,"règles, règlement"
926,DERNIER.CARTE,dernier
580,LIRE.REGARDER,lire
2548,RATER.NEZ,"rater, raté"
2604,SIGNE,"signe, geste"
30,APPARAITRE,"il paraît, il y a, apparaître, bizarre, surgir"
3610,ARCHITECTE.SOULIGNER,architecte
1346,TGV,"TGV, train"
3701,ILE,île
3173,MAGASIN.VENDRE,magasin
1297,MUSIQUE,"musique, musicien, chanson, chanter"
3074,PAIN,"pain, tartine"
3876,SABLE.AVEC,sable
2051,AVRIL.SITE,avril
2778,COUPER.MOITIE,couper
3778,FRANCAIS-AIMEPAS,français
1459,SILENCE,"silence, chut, tais-toi, se taire"
614,TRANSFORMER,"transformer, changer, devenir"
241,FACEBOOK.JANVIER,facebook
2276,CAFE.SENSEO,"café, senseo"
3062,METTRE.IMAGE,mettre une image ou une vidéo
1083,BEAUCOUP,beaucoup
3817,CHARBON.BOULETTE,"charbon, mine"
3986,PUR,pur
3188,TROUVER(LSF),trouver
828,NS:FRANCE(F),"France, français"
861,POLLUTION,"pollution, polluer"
3923,ETIRER,"étirer, étirement, crampe"
1185,SAVOIR-NEG,"ne pas savoir, ne pas connaitre, oublier"
3907,DESSOUS.VICE,"en dessous, vice, après, sous, co, adjoint"
3335,INVERSER.HORIZONTAL,"inverser, contraire"
3932,NS:CHAPELIER(APPAREIL),Chapelier
4110,SAUNA,sauna
3697,TRAMPOLINE,"trampoline, sauter"
1256,NS:ITALIE(G-FORME),"Italie, italien"
583,MIXTE,mixte
2839,TROTTINETTE.MOTO,trotinette
3365,ALCOOL,alcool
618,BLEU,bleu
667,SOUMIS,"soumis, (se) soumettre"
2739,VALET-CARTE,valet (jeu de cartes)
1364,CAMPING,"camp, camping"
3212,JOUR.B,"jour, journée"
1695,NS:PORTUGAL(DIX-LIEGE),"Portugal, portugais"
2518,VIDE.EPUISER,"il n'y a rien, néant, aucun, vide"
4107,DATTE,"datte, dattier"
2975,GRAND-MERE.HANCHE,grand-mère
282,HEURE-5,"à cinq heures, à dix-sept heures"
1131,PLUIE,"pleuvoir, pluie"
2114,MORDRE,Mordre
